species_name,species_safe,taxonomy_level,value,n_records
Delphinapterus leucas,Delphinapterus_leucas,phylum,Chordata,580
Delphinapterus leucas,Delphinapterus_leucas,species,Delphinapterus leucas,580
Delphinus delphis,Delphinus_delphis,class,Mammalia,12291
Delphinus delphis,Delphinus_delphis,family,Delphinidae,12291
Delphinus delphis,Delphinus_delphis,genus,Delphinus,12291
Delphinus delphis,Delphinus_delphis,kingdom,Animalia,12291
Delphinus delphis,Delphinus_delphis,order,Cetacea,12291
Delphinus delphis,Delphinus_delphis,phylum,Chordata,12291
Delphinus delphis,Delphinus_delphis,species,Delphinus delphis,12291
Diceros bicornis,Diceros_bicornis,class,Mammalia,1808
Diceros bicornis,Diceros_bicornis,family,Rhinocerotidae,1808
Diceros bicornis,Diceros_bicornis,genus,Diceros,1808
Diceros bicornis,Diceros_bicornis,kingdom,Animalia,1808
Diceros bicornis,Diceros_bicornis,order,Perissodactyla,1808
Diceros bicornis,Diceros_bicornis,phylum,Chordata,1808
Diceros bicornis,Diceros_bicornis,species,Diceros bicornis,1808
Dicotyles tajacu,Dicotyles_tajacu,class,Mammalia,206
Dicotyles tajacu,Dicotyles_tajacu,family,Tayassuidae,206
Dicotyles tajacu,Dicotyles_tajacu,genus,Pecari,206
Dicotyles tajacu,Dicotyles_tajacu,kingdom,Animalia,206
Dicotyles tajacu,Dicotyles_tajacu,order,Artiodactyla,206
Dicotyles tajacu,Dicotyles_tajacu,phylum,Chordata,206
Dicotyles tajacu,Dicotyles_tajacu,species,Pecari tajacu,206
Dipodillus dasyurus,Dipodillus_dasyurus,class,Mammalia,158
Dipodillus dasyurus,Dipodillus_dasyurus,family,Muridae,158
Dipodillus dasyurus,Dipodillus_dasyurus,genus,Dipodillus,158
Dipodillus dasyurus,Dipodillus_dasyurus,kingdom,Animalia,158
Dipodillus dasyurus,Dipodillus_dasyurus,order,Rodentia,158
Dipodillus dasyurus,Dipodillus_dasyurus,phylum,Chordata,158
Dipodillus dasyurus,Dipodillus_dasyurus,species,Dipodillus dasyurus,158
Dobsonia andersoni,Dobsonia_andersoni,class,Mammalia,7
Dobsonia andersoni,Dobsonia_andersoni,family,Pteropodidae,7
Dobsonia andersoni,Dobsonia_andersoni,genus,Dobsonia,7
Dobsonia andersoni,Dobsonia_andersoni,kingdom,Animalia,7
Dobsonia andersoni,Dobsonia_andersoni,order,Chiroptera,7
Dobsonia andersoni,Dobsonia_andersoni,phylum,Chordata,7
Dobsonia andersoni,Dobsonia_andersoni,species,Dobsonia anderseni,7
Dobsonia moluccensis,Dobsonia_moluccensis,class,Mammalia,50
Dobsonia moluccensis,Dobsonia_moluccensis,family,Pteropodidae,50
Dobsonia moluccensis,Dobsonia_moluccensis,genus,Dobsonia,50
Dobsonia moluccensis,Dobsonia_moluccensis,kingdom,Animalia,50
Dobsonia moluccensis,Dobsonia_moluccensis,order,Chiroptera,50
Dobsonia moluccensis,Dobsonia_moluccensis,phylum,Chordata,50
Dobsonia moluccensis,Dobsonia_moluccensis,species,Dobsonia moluccensis,47
Dobsonia moluccensis,Dobsonia_moluccensis,species,Dobsonia magna,3
Eidolon dupreanum,Eidolon_dupreanum,class,Mammalia,83
Eidolon dupreanum,Eidolon_dupreanum,family,Pteropodidae,83
Eidolon dupreanum,Eidolon_dupreanum,genus,Eidolon,83
Eidolon dupreanum,Eidolon_dupreanum,kingdom,Animalia,83
Eidolon dupreanum,Eidolon_dupreanum,order,Chiroptera,83
Eidolon dupreanum,Eidolon_dupreanum,phylum,Chordata,83
Eidolon dupreanum,Eidolon_dupreanum,species,Eidolon dupreanum,83
Eira barbara,Eira_barbara,class,Mammalia,3585
Eira barbara,Eira_barbara,family,Mustelidae,3585
Eira barbara,Eira_barbara,genus,Eira,3585
Eira barbara,Eira_barbara,kingdom,Animalia,3585
Eira barbara,Eira_barbara,order,Carnivora,3585
Eira barbara,Eira_barbara,phylum,Chordata,3585
Eira barbara,Eira_barbara,species,Eira barbara,3585
Elaphodus cephalophus,Elaphodus_cephalophus,class,Mammalia,93
Elaphodus cephalophus,Elaphodus_cephalophus,family,Cervidae,93
Elaphodus cephalophus,Elaphodus_cephalophus,genus,Elaphodus,93
Elaphodus cephalophus,Elaphodus_cephalophus,kingdom,Animalia,93
Elaphodus cephalophus,Elaphodus_cephalophus,order,Artiodactyla,93
Elaphodus cephalophus,Elaphodus_cephalophus,phylum,Chordata,93
Elaphodus cephalophus,Elaphodus_cephalophus,species,Elaphodus cephalophus,93
Elephas maximus,Elephas_maximus,class,Mammalia,10142
Elephas maximus,Elephas_maximus,family,Elephantidae,10142
Elephas maximus,Elephas_maximus,genus,Elephas,10142
Elephas maximus,Elephas_maximus,kingdom,Animalia,10142
Elephas maximus,Elephas_maximus,order,Proboscidea,10142
Elephas maximus,Elephas_maximus,phylum,Chordata,10142
Elephas maximus,Elephas_maximus,species,Elephas maximus,10142
Epomophorus gambianus,Epomophorus_gambianus,class,Mammalia,1650
Epomophorus gambianus,Epomophorus_gambianus,family,Pteropodidae,1650
Epomophorus gambianus,Epomophorus_gambianus,genus,Epomophorus,1650
Epomophorus gambianus,Epomophorus_gambianus,kingdom,Animalia,1650
Epomophorus gambianus,Epomophorus_gambianus,order,Chiroptera,1650
Epomophorus gambianus,Epomophorus_gambianus,phylum,Chordata,1650
Epomophorus gambianus,Epomophorus_gambianus,species,Epomophorus gambianus,1650
Euoticus elegantulus,Euoticus_elegantulus,class,Mammalia,16
Euoticus elegantulus,Euoticus_elegantulus,family,Galagidae,16
Euoticus elegantulus,Euoticus_elegantulus,genus,Euoticus,16
Euoticus elegantulus,Euoticus_elegantulus,kingdom,Animalia,16
Euoticus elegantulus,Euoticus_elegantulus,order,Primates,16
Euoticus elegantulus,Euoticus_elegantulus,phylum,Chordata,16
Euoticus elegantulus,Euoticus_elegantulus,species,Euoticus elegantulus,16
